text,genre
A man and woman fall in love,Romance
A spaceship travels across the galaxy,Sci-Fi
A police officer investigates a murder,Thriller
Friends go on a funny adventure,Comedy
A superhero saves the world from villains,Action
A haunted house scares a family,Horror
A detective solves a crime case,Thriller
A king fights enemies in a war,Action
A couple struggles in their relationship,Romance
Two astronauts explore an alien planet,Sci-Fi
A serial killer hunts victims,Horror
A comedian tells jokes and makes people laugh,Comedy
Lovers meet at a coffee shop,Romance
A monster attacks a small town,Horror
Soldiers fight against an invasion,Action
A spy steals secret documents,Thriller
Robots take over the world,Sci-Fi
Two friends reconcile their differences,Comedy
A wedding brings together estranged families,Romance
A teenage girl discovers she has superpowers,Action
A woman escapes from a killer,Thriller
Aliens communicate with humans,Sci-Fi
A group of friends go camping,Comedy
A prince searches for his lost love,Romance
An evil villain plans world domination,Action
A mystery writer solves a real crime,Thriller
Time travelers go back to the past,Sci-Fi
A family on vacation has mishaps,Comedy
Star-crossed lovers defy their families,Romance
A warrior fights a dragon,Action
A person discovers a dark secret,Thriller
A spaceship crash lands on an unknown planet,Sci-Fi
A ridiculous situation becomes hilarious,Comedy
A widow finds love again,Romance
A team joins to fight crime,Action
An innocent person is framed,Thriller
Scientists discover an ancient civilization,Sci-Fi
A group of friends create funny situations,Comedy
Two lovers reunite after years apart,Romance
Creatures from space invade cities,Sci-Fi
A victim seeks revenge on their attacker,Thriller
A child gets kidnapped,Horror
Little mistakes turn into big laughs,Comedy
Masked superheroes protect the city,Action
A young couple experiences first love,Romance
Futuristic technology changes society,Sci-Fi
A witness testifies against a criminal,Thriller
Ghosts haunt an old mansion,Horror
Friends tell hilarious stories,Comedy
An army battles evil forces,Action
A betrayed lover confronts their partner,Romance
Quantum physics creates strange phenomena,Sci-Fi
A detective races against time,Thriller
Creatures lurk in the darkness,Horror
Comedians perform stand-up routines,Comedy
Soldiers complete a dangerous mission,Action
A marriage proposal at sunset,Romance
Extra-terrestrial life is discovered,Sci-Fi
A criminal escapes from prison,Thriller
A curse affects entire family,Horror
A joke competition happens,Comedy
Warriors clash with swords,Action
Lost lovers find each other,Romance
